,News Source,Tweet,Tweets Ago,Date,Compound,Positive,Neutral,Negative
31,@BBCNews,"Isner loves a marathon match 🎾

#wimbledon coverage continues on @BBCOne https://t.co/YhpZHZqAq3",32,Fri Jul 13 15:13:35 +0000 2018,0.5719,0.27,0.0,0.73
32,@BBCNews,"Donald Trump: US-UK relationship is 'highest level of special'

https://t.co/F78B9tSdKS #TrumpVisitUK https://t.co/D13RfEJoOj",33,Fri Jul 13 15:02:09 +0000 2018,0.4019,0.197,0.0,0.803
33,@BBCNews,"⚡️ “""The highest level of special"" relationship”

https://t.co/X6eHunLySI",34,Fri Jul 13 14:51:49 +0000 2018,0.4019,0.278,0.0,0.722
34,@BBCNews,"RT @bbcweather: With the weather hotting up this weekend, Sunday could see the hottest Men's Final in over 20 years at #Wimbledon #TheChamp…",35,Fri Jul 13 14:48:48 +0000 2018,0.0,0.0,0.0,1.0
35,@BBCNews,"Thousands join #TrumpProtest in London's Regent Street as #TrumpVisitUK continues

Follow our coverage:… https://t.co/XhSymWrK8I",36,Fri Jul 13 14:46:02 +0000 2018,0.296,0.145,0.0,0.855
36,@BBCNews,Downton Abbey film finally confirmed https://t.co/VcQvk7lFJb,37,Fri Jul 13 14:27:26 +0000 2018,0.0,0.0,0.0,1.0
37,@BBCNews,"Thousands of protesters flood Regent Street in central London to protest against #TrumpVisitUK 

Follow our ongoing… https://t.co/56Ki5KHnR6",38,Fri Jul 13 14:18:29 +0000 2018,-0.4404,0.0,0.206,0.794
38,@BBCNews,"""I said very good things about her"" - President Trump questioned about his criticism of PM Theresa May in Sun inter… https://t.co/xXM5vjW4my",39,Fri Jul 13 13:54:12 +0000 2018,-0.0276,0.125,0.169,0.706
39,@BBCNews,"Theresa May is a ""very smart, very tough, very capable"" person. ""I'd much rather have her as my friend than my enem… https://t.co/AVQce4JV8A",40,Fri Jul 13 13:42:18 +0000 2018,0.807,0.318,0.07,0.612
40,@BBCNews,Man who urged Prince George attack given life sentence https://t.co/sndAAspgTr,41,Fri Jul 13 13:42:14 +0000 2018,-0.4215,0.105,0.25,0.645
41,@BBCNews,"RT @BBCBreaking: ""Boris Johnson I think would be a great prime minister""

I also said this ""incredible woman"" Theresa May is doing a ""fanta…",42,Fri Jul 13 13:28:40 +0000 2018,0.6249,0.177,0.0,0.823
42,@BBCNews,"RT @BBCWorld: Immigration has been ""very bad for Europe"" - President Trump tells Chequers press conference 

#TrumpVisitUK coverage: https:…",43,Fri Jul 13 13:27:58 +0000 2018,-0.5849,0.0,0.182,0.818
43,@BBCNews,"• 'No limits' to the UK doing trade deals after Brexit
 • Trump on May: I didn't criticise the prime minister
 • Tr… https://t.co/o9PV4A9hnn",44,Fri Jul 13 13:26:31 +0000 2018,0.0531,0.106,0.097,0.796
